variable,STICS variable,file,unit,description
year,ian,obs,,
month,mo,obs,,
day,jo,obs,,
doy,jul,obs,,Day of year
tillage_date,jultrav,tec,doy,
tillage_depth,proftrav,tec,cm,Maximum depth affected by soil tillage
planting_date,iplt0,tec,doy,Date of sowing
planting_depth,profsem,tec,cm,Depth of sowing
plants_per_m2,densitesem,tec,plants/m2,Plant sowing density
emergence,ilev,tec,doy,Date of emergence
flowering,iflo,tec,doy,Day of anthesis
maturity,imat,tec,doy,Day when maturity stage is reached
application_date,julapN,tec,doy,Date of fertilizer application
kg_N_per_ha,doseN,tec,kg/ha/day,Daily amount of N added through fertilizers
fert_type,engrais,tec,"code, 1 to 8","Fertilizer type (1=ammonium nitrate, 2=UAN solution, 3=urea, 4=anhydrous ammonia, 5=ammonium sulfate, 6=ammonium phosphate, 7=calcium nitrate, 8= fixed efficiency fertiliser)"
fert_location,codlocferti,tec,"code, 1 to 2","Option to define localized fertilisation: 1 = at soil surface, 2 = deeper in the soil"
fert_depth,locferti,tec,cm,Soil depth at which fertiliser is applied
harvest_date,irec,tec,doy,Date of harvest
harvest_end,irecbutoir,tec,doy,Latest date of harvest (imposed if the crop cycle is not finished at this date)
irrigation_efficiency,effirr,tec,0-1,Irrigation efficiency
irrigation_location,codlocirrig,tec,"code, 1 to 3","Option to define localized irrigation: 1= above the foliage, 2= below the foliage above the soil, 3 = in the soil"
autoirr_depth,locirrig,tec,cm,Soil depth at which irrigation is applied
autoirr_start,datedeb_irrigauto,tec,doy,Starting date of automatic irrigations
autoirr_end,datefin_irrigauto,tec,doy,Ending date of automatic irrigations
soil_profile_name,Soil_name,sol,str,Name of soil profile
albedo,albedo,sol,ND,Albedo of the bare dry soil
impermeable_lyr,profimper,sol,cm,Upper depth of the impermeable layer (from soil surface)
spacing,ecartdrain,sol,cm,Spacing between drains
hydraulic_conductivity,ksol,sol,mm/day,Hydraulic conductivity
depth,profdrain,sol,cm,Depth of the drains
pH,pH,sol,,pH of first soil layer
%_clay_1,argi,sol,%,Clay content
SON_1,norg,sol,%,"Soil organic N content in the first soil layer (constant down to the depth profhum, dry soil)"
CN_ratio,CsurNsol0,sol,g C/g N,Initial C to N ratio of soil humus
carbonate,calc,sol,%,Total carbonate content
station_name,Sta_name,sta,str,Weather station name
latitude,latitude,sta,degree,Latitude of the site
PET_calculation,codeetp,sta,"code, 1 to 4","Option to calculate PET: 1 = forced Penman, 2 = calculated Penman, 3= Shuttleworth & Wallace, 4 = Priestley & Taylor"
usm_name,usm_name,usms,str,name of simulation
simulation_start,datedebut,usms,doy,Starting date of simulation
simulation_end,datefin,usms,doy,Ending date of simulation
management_file_name,ftec,usms,str,Management file name
soil_profile_name,nomsol,usms,str,Name of soil profile
weather_station_name,fclim,usms,str,Weather station file name
plant_file,fplt,usms,str,Plant file name
Ini_name,finit,usms,str,Initialization file name
irrigation_date_1,julapl_1,tec,doy,Date of Irrigation
amount_1,dosel_1,tec,mm/day,Daily amount of irrigation water
irrigation_date_2,julapl_2,tec,doy,Date of Irrigation
amount_2,dosel_2,tec,mm/day,Daily amount of irrigation water
irrigation_date_3,julapl_3,tec,doy,Date of Irrigation
amount_3,dosel_3,tec,mm/day,Daily amount of irrigation water
irrigation_date_4,julapl_4,tec,doy,Date of Irrigation
amount_4,dosel_4,tec,mm/day,Daily amount of irrigation water
irrigation_date_5,julapl_5,tec,doy,Date of Irrigation
amount_5,dosel_5,tec,mm/day,Daily amount of irrigation water
irrigation_date_6,julapl_6,tec,doy,Date of Irrigation
amount_6,dosel_6,tec,mm/day,Daily amount of irrigation water
irrigation_date_7,julapl_7,tec,doy,Date of Irrigation
amount_7,dosel_7,tec,mm/day,Daily amount of irrigation water
irrigation_date_8,julapl_8,tec,doy,Date of Irrigation
amount_8,dosel_8,tec,mm/day,Daily amount of irrigation water
irrigation_date_9,julapl_9,tec,doy,Date of Irrigation
amount_9,dosel_9,tec,mm/day,Daily amount of irrigation water
irrigation_date_10,julapl_10,tec,doy,Date of Irrigation
amount_10,dosel_10,tec,mm/day,Daily amount of irrigation water
irrigation_date_11,julapl_11,tec,doy,Date of Irrigation
amount_11,dosel_11,tec,mm/day,Daily amount of irrigation water
irrigation_date_12,julapl_12,tec,doy,Date of Irrigation
amount_12,dosel_12,tec,mm/day,Daily amount of irrigation water
irrigation_date_13,julapl_13,tec,doy,Date of Irrigation
amount_13,dosel_13,tec,mm/day,Daily amount of irrigation water
irrigation_date_14,julapl_14,tec,doy,Date of Irrigation
amount_14,dosel_14,tec,mm/day,Daily amount of irrigation water
irrigation_date_15,julapl_15,tec,doy,Date of Irrigation
amount_15,dosel_15,tec,mm/day,Daily amount of irrigation water
thickness_1,epc_1,sol,cm,Thickness of the first soil layer
BD_1,DAF_1,sol,g/cm3,Bulk density of the first soil layer
FC_1,HCCF_1,sol,g/g %,"Gravimetric water content at field capacity of the first soil layer (in fine earth, dry soil)"
